TOPIC,TOPIC PROPORTION,TOP WORDS,abl,al,annot,challeng,characterist,complex,develop,doi,domain,due,effici,employ,et,evalu,f,general,implement,initi,j,journal,label,lead,lexic,match,name,ofth,perform,platform,primari,search,semant,strategi,synonym,system,track,type
11,0.034092905,"hypothesi, factor, ontolog, s, evid ",0.001934074,0.012286714,6.36E-06,1.09E-82,3.38E-90,0.001042193,0.001834486,2.12E-82,0.007924235,0.001404549,2.71E-91,0.000224153,0.011131577,0.001051824,0.007634318,0.003026515,0.001014682,0.001094292,0,0.006416262,1.93E-20,0.004900989,1.92E-102,5.14E-08,0.000765061,0.003189408,6.31E-08,0,1.86E-83,0.000153127,0.008814391,0.00073326,1.74E-81,0.000127448,0.000360062,0.003300454
12,0.003544277,"tripl, diseas, formal, owl, support ",8.93E-16,9.39E-11,4.17E-15,1.66E-21,1.06E-14,5.65E-10,1.12E-11,6.10E-10,5.49E-08,8.71E-14,5.54E-33,7.07E-21,8.90E-11,1.09E-11,8.93E-46,1.52E-12,1.81E-13,3.78E-12,0,3.51E-07,4.98E-19,6.14E-07,1.95E-34,3.92E-18,8.96E-09,3.61E-11,1.48E-17,0,9.14E-20,1.41E-16,3.09E-07,2.19E-39,3.17E-18,1.63E-09,1.21E-17,1.08E-09
13,0.040898338,"cell, map, term, set, gene ",9.35E-76,0.005100474,0.003138881,1.27E-62,1.44E-58,0.000510221,0.001873033,0.000608218,0.00018726,0.001288124,1.07E-62,4.35E-68,0.005101729,1.28E-52,0.001898805,0.000629198,0.000603107,0.000564408,0,0.005073107,1.92E-57,4.13E-51,4.92E-61,1.51E-08,0.003823303,0.000601991,7.07E-50,0,5.36E-59,3.53E-56,0.006948009,0.000548454,1.84E-61,0.001535477,1.54E-59,0.022113858
14,0.037537675,"relat, edg, extract, label, depend ",2.80E-52,0.005349557,0.00224231,5.87E-66,0.001056524,0.00039812,0.000425081,0.000506324,0.000294598,0.001068916,0.001068741,0.002873023,0.005366991,0.005136653,0.008180156,0.002843478,0.006941355,2.55E-51,0,0.005575696,0.031797548,0.000476186,8.22E-79,0.008303387,0.007504999,0.001665889,0.020025172,0,6.43E-87,0.000431503,0.007706055,2.24E-05,1.43E-73,0.008435302,3.89E-53,0.002808963
15,0.040184055,"formal, user, data, social, learn ",1.52E-58,0.018189567,1.92E-62,0.007297535,0.001591433,2.86E-57,4.67E-55,1.98E-69,0.002313243,0.001542172,0.001587373,7.76E-66,0.017356046,0.000635027,0.001590677,0.001593298,0.00067087,1.39E-63,0,0.007222654,0.023042112,0.003267178,4.90E-100,3.38E-71,0.001530909,0.000719014,0.021622226,0,5.28E-69,7.73E-57,0.0079305,6.08E-68,7.21E-67,0.008691372,0.000776741,0.004059308
16,0.037946755,"diseas, term, frequenc, pattern, collect ",0.00202647,0.006987556,1.08E-50,5.05E-06,0.00142947,0.001166189,0.000479933,1.28E-84,0.001019874,0.009050067,0.00068766,7.08E-50,0.00701811,0.000513583,0.000628836,0.002172776,8.29E-53,0.001297319,0,0.007062478,5.19E-49,0.000558315,7.93E-53,5.57E-85,0.003620918,0.002135093,0.004169747,0,0.001372311,0.003032634,0.00988514,2.45E-85,0.00744812,3.84E-18,1.15E-73,2.56E-49
17,0.03917672,"treatment, ontolog, patient, drug, s ",0.003548583,0.003412167,0.003495804,0.003462193,0.003461656,0.00750357,1.03E-25,0.003542246,0.003477578,1.97E-28,2.00E-57,1.99E-31,0.003430519,2.32E-43,1.19E-48,1.20E-27,0.003526663,7.39E-29,0,0.003131521,9.75E-34,1.10E-28,3.22E-88,3.84E-48,1.54E-26,2.39E-29,4.15E-45,0,2.75E-61,1.55E-29,0.002802195,9.21E-44,7.59E-37,0.014294397,3.85E-53,0.011125433
18,0.037851073,"al, et, discoveri, semant, queri ",1.78E-64,0.051685756,7.00E-61,0.00060654,7.77E-64,0.000624466,0.00571141,2.01E-62,0.00256015,0.002801593,0.000696,7.80E-61,0.050241016,0.000531073,4.35E-64,0.00284156,2.98E-66,0.002082915,0,0.008275404,1.30E-60,0.00208983,4.81E-127,2.75E-72,0.000435357,0.001373144,0.004884615,0,0.002847984,0.002806835,0.026320688,2.16E-65,4.77E-70,0.002371736,1.51E-67,0.002509769
19,0.037645749,"terminolog, code, set, clinic, valu ",0.001832339,0.006293782,0.001119344,0.007274911,4.11E-60,0.003340907,0.002457738,4.08E-92,0.003003745,1.45E-60,1.50E-60,3.54E-92,0.006303118,0.000903918,0.001923297,1.74E-55,0.020065637,0.000988077,0,0.005825854,0.00188764,0.00195131,1.27E-89,2.98E-08,0.000420729,0.001068053,0.001483771,0,7.79E-57,0.020402916,0.005461902,5.25E-80,8.91E-59,0.020161251,1.15E-81,0.003376969
20,0.03662612,"ontolog, inform, assert, web, semant ",9.99E-55,7.85E-45,4.72E-53,1.07E-49,2.20E-71,0.002709952,0.00551486,0.002768447,0.016884164,5.40E-52,6.75E-57,1.59E-62,8.18E-45,0.002733361,6.79E-60,0.005641627,8.16E-59,3.57E-49,0,0.008243548,4.29E-60,0.002772837,3.46E-79,9.00E-60,1.23E-42,8.50E-45,0.002451981,0,5.35E-48,0.002655079,0.022495503,3.86E-54,7.05E-59,1.61E-43,1.16E-54,0.002616338
21,0.040890392,"step, term, ontolog, provid, data ",5.95E-28,0.006802097,2.00E-26,4.20E-27,9.98E-35,9.44E-23,4.80E-23,1.29E-34,0.021130627,0.003069097,8.91E-29,1.29E-30,0.006814493,2.64E-21,1.90E-27,2.47E-22,0.00612106,0.006242027,0,0.006835842,0.002841562,1.19E-23,4.17E-39,2.61E-28,0.00339231,0.003453296,2.62E-21,0,7.16E-33,0.003195757,0.017347244,3.69E-28,1.98E-34,1.63E-21,4.34E-31,2.78E-25
22,0.001608985,"becom, s, access, sourc, distribut ",6.42E-11,1.87E-07,1.04E-11,1.00E-14,3.86E-20,1.07E-09,2.35E-07,3.21E-14,1.69E-06,2.22E-15,2.16E-22,1.17E-22,1.74E-07,2.10E-07,7.65E-17,4.13E-10,1.49E-12,2.11E-13,0,2.63E-06,3.83E-17,2.03E-10,6.20E-28,7.27E-14,4.97E-07,1.80E-11,3.75E-13,0,4.17E-18,1.12E-17,3.02E-06,1.49E-17,7.02E-23,1.74E-07,8.27E-12,2.08E-11
23,0.039513472,"ontolog, map, algorithm, match, class ",0.006076646,0.000643664,0.002023604,0.005140236,6.86E-49,0.009968082,0.002014507,0.000951389,0.006996547,0.000890827,0.001995867,0.003011097,0.000641081,0.008382108,0.001018406,0.000976829,0.002996964,0.00061207,0,0.005794343,0.017951802,2.06E-37,0.005015973,0.038110783,0.001982399,0.000790406,0.00174422,0,9.51E-71,0.009460391,0.008662684,0.004756775,7.32E-51,0.004966502,0.000946816,0.001641854
24,0.03991837,"question, queri, section, search, ontolog ",0.000777638,0.008532565,0.00247226,1.94E-45,1.34E-54,0.001580498,0.001498228,1.06E-54,0.003232977,1.42E-49,5.55E-54,2.06E-46,0.008543462,0.005109249,3.84E-47,0.002546365,0.001587828,0.000716415,0,0.008564592,0.004166341,0.000770639,7.27E-59,1.79E-05,0.00074902,0.000770584,0.000670286,0,0.00078353,0.025602041,0.013603566,1.49E-60,0.00080239,0.003972784,1.43E-57,0.001636098
25,0.001835243,"subject, diseas, patient, distribut, complex ",1.40E-24,1.96E-08,1.20E-21,5.02E-18,1.15E-31,0.000124348,5.96E-06,1.19E-21,1.19E-05,6.59E-11,2.11E-17,4.38E-22,1.89E-08,8.57E-07,6.19E-26,6.18E-07,2.06E-21,3.49E-14,0,1.86E-05,2.23E-31,2.13E-05,1.03E-57,2.94E-26,1.21E-06,3.36E-09,4.28E-10,0,8.92E-19,3.86E-06,1.87E-05,2.98E-32,1.67E-43,8.52E-08,1.01E-29,7.16E-05
26,0.037888918,"concept, ontolog, name, class, semant ",0.002157883,0.00755365,0.000318558,0.00095672,0.001025417,0.000332637,0.003321235,0.000473048,0.009496008,0.001646872,2.36E-90,0.001100571,0.00756186,8.89E-76,1.82E-77,0.001058138,0.002133823,0.000519546,0,0.015137385,0.007745661,0.001062786,9.82E-134,4.69E-84,0.03412879,0.001652253,2.99E-77,0,5.72E-87,0.000955775,0.018388305,4.45E-81,0.00110232,0.013132953,6.16E-92,0.004803025
27,0.003342091,"object, diseas, support, access, structur ",3.96E-31,7.95E-08,6.24E-23,3.13E-38,2.10E-11,1.40E-05,3.87E-18,1.40E-22,1.00E-05,1.84E-08,2.66E-31,1.17E-25,7.78E-08,2.76E-05,5.44E-26,1.59E-18,1.04E-23,2.57E-10,0,2.46E-05,2.62E-12,1.38E-05,3.48E-19,4.73E-10,5.42E-06,5.64E-08,4.44E-10,0,6.77E-12,3.20E-18,3.06E-05,3.43E-27,5.58E-15,8.70E-07,5.33E-10,3.25E-05
28,0.010303482,"knowledg, collect, distribut, s, sourc ",3.54E-11,3.68E-07,7.08E-09,3.55E-21,4.57E-23,1.76E-07,4.82E-08,4.83E-18,1.75E-06,2.90E-12,5.78E-33,1.77E-09,3.49E-07,1.12E-08,2.93E-12,8.08E-08,4.51E-10,1.22E-15,0,6.48E-06,1.59E-15,1.13E-06,5.46E-41,2.86E-19,9.34E-07,8.11E-09,2.41E-12,0,1.18E-28,1.15E-07,1.12E-05,1.83E-16,2.73E-23,7.37E-07,7.17E-13,2.78E-06
29,0.034773639,"term, similar, semant, word, distinguish ",1.43E-46,0.007551983,1.13E-29,0.003828288,1.05E-36,5.32E-15,4.90E-40,9.39E-72,0.005118913,1.57E-30,5.76E-35,1.39E-30,0.007540137,2.72E-28,0.00203503,0.006479421,2.62E-32,0.000361782,0,0.004435553,1.68E-33,1.46E-30,0.004020193,0.000544505,1.14E-28,0.001267418,0.005061289,0,0.00193336,2.44E-32,0.023318091,7.24E-07,0.004078878,0.000133848,9.01E-55,0.000105752
30,0.004903077,"comput, access, distribut, sourc, s ",2.35E-14,2.57E-06,2.01E-08,5.61E-21,5.49E-19,1.64E-07,5.83E-07,9.06E-14,3.25E-05,1.58E-10,2.42E-19,2.09E-11,2.45E-06,2.23E-05,2.03E-12,4.40E-08,1.53E-08,3.77E-18,0,6.86E-05,3.06E-14,5.92E-07,5.30E-30,4.48E-12,3.04E-06,1.23E-08,1.45E-09,0,1.24E-25,5.67E-11,0.00010085,4.29E-14,1.23E-25,8.97E-06,1.70E-15,2.14E-07
31,0.003992344,"contain, distribut, access, s, sourc ",2.58E-15,6.91E-06,1.47E-11,6.51E-17,9.35E-12,3.01E-10,1.82E-10,6.78E-27,5.75E-06,9.25E-11,1.62E-21,3.29E-18,6.55E-06,9.05E-08,4.45E-18,1.71E-09,2.98E-11,4.26E-13,0,3.64E-05,4.15E-12,1.82E-06,9.08E-26,5.49E-16,1.97E-05,1.47E-08,2.74E-11,0,2.74E-19,5.56E-11,5.01E-05,3.52E-26,2.67E-14,9.31E-07,1.01E-20,3.73E-08
32,0.00364695,"tool, collect, diseas, s, term ",8.20E-09,3.56E-07,2.40E-08,4.26E-11,9.28E-34,3.54E-17,3.16E-05,9.99E-10,2.05E-05,2.87E-30,7.43E-15,3.37E-40,3.40E-07,5.31E-06,4.46E-27,3.81E-08,1.63E-07,2.53E-09,0,5.39E-05,9.76E-27,9.74E-06,1.18E-52,1.47E-10,4.97E-06,1.88E-08,8.28E-10,0,2.68E-12,2.60E-21,6.83E-05,4.25E-19,1.17E-32,1.20E-06,4.66E-12,1.25E-18
33,0.00703343,"graph, diseas, edg, collect, product ",7.69E-17,2.81E-06,3.61E-07,8.60E-48,1.63E-19,5.84E-05,8.91E-06,1.34E-16,6.45E-06,1.15E-05,3.73E-19,2.25E-06,2.78E-06,2.93E-06,2.99E-07,3.84E-06,6.70E-06,5.21E-14,0,1.54E-05,1.53E-15,2.31E-06,3.16E-72,1.45E-08,4.20E-05,5.18E-07,1.05E-10,0,1.10E-50,7.43E-06,2.57E-05,2.81E-08,5.40E-61,6.63E-06,1.75E-15,2.39E-05
34,0.037886526,"ontolog, inform, rate, develop, entiti ",0.000437911,0.00593938,0.000940512,0.000452709,5.27E-47,0.000401925,0.018007668,0.00046321,0.00422869,2.21E-46,6.25E-45,0.000995601,0.005959392,0.004965684,0.000437779,0.00041135,1.21E-45,1.98E-88,0,0.013361649,0.001775773,0.000417897,5.88E-44,7.21E-87,0.008484717,0.001954488,0.001356894,0,0.000443996,7.31E-09,0.014020918,0.003322495,0.000480379,0.00122834,0.00046407,0.001899341
35,0.004865358,"repres, access, distribut, s, sourc ",7.34E-14,2.96E-06,4.67E-11,4.29E-19,1.25E-21,2.55E-08,4.95E-09,8.87E-24,1.38E-05,9.37E-12,2.29E-25,1.03E-14,2.84E-06,2.84E-07,1.15E-13,3.74E-09,2.12E-10,6.67E-13,0,3.39E-05,1.91E-14,1.16E-06,1.21E-31,1.16E-14,5.81E-06,1.02E-07,7.85E-10,0,2.65E-23,2.15E-09,5.28E-05,2.13E-19,6.04E-23,1.93E-06,1.44E-15,1.28E-06
36,0.005751781,"open, semant, distribut, access, journal ",3.62E-12,7.23E-06,1.97E-10,2.45E-12,6.45E-17,9.28E-08,5.22E-07,7.70E-14,0.000130002,2.23E-12,9.15E-22,2.92E-17,6.77E-06,9.25E-10,1.65E-18,2.69E-08,1.03E-08,1.53E-12,0,0.000144263,1.40E-15,3.02E-07,6.41E-31,8.78E-15,7.15E-07,9.83E-09,6.63E-12,0,2.57E-21,4.54E-11,0.000179121,1.59E-21,1.20E-19,7.33E-06,6.85E-20,8.46E-08
37,0.005566066,"import, process, collect, sourc, distribut ",2.00E-07,1.75E-05,1.13E-06,1.06E-12,2.82E-29,8.25E-07,6.82E-05,1.76E-12,7.48E-05,5.42E-21,3.52E-30,5.56E-13,1.67E-05,9.07E-07,1.22E-10,8.82E-08,3.64E-11,8.32E-16,0,9.21E-05,1.67E-11,1.16E-05,1.87E-58,5.71E-17,8.22E-05,3.48E-07,6.95E-10,0,9.56E-18,1.77E-09,0.000154882,5.26E-12,8.20E-21,1.85E-05,5.08E-11,5.85E-07
38,0.017288755,"ontolog, match, domain, system, essenti ",4.39E-10,0.005896775,1.18E-09,1.39E-06,8.04E-20,0.014584519,4.55E-08,1.72E-14,0.050137928,2.31E-10,2.89E-21,3.48E-17,0.006100812,1.77E-06,9.72E-07,1.14E-07,8.07E-10,0.010580332,0,0.012541896,1.16E-08,8.07E-10,2.65E-06,0.180300851,2.21E-05,0.006300777,0.010127844,0,1.21E-09,9.88E-13,0.015196826,0.01058195,9.96E-12,0.048135467,1.33E-10,0.015527609
39,0.016922677,"biomed, semant, domain, journal, inform ",1.13E-13,4.12E-05,8.20E-10,8.12E-13,1.45E-16,8.08E-08,9.91E-08,2.78E-17,0.000244585,1.33E-10,5.30E-17,1.11E-14,3.97E-05,8.32E-07,1.50E-13,1.11E-07,3.15E-09,1.01E-12,0,0.000242148,9.54E-12,1.52E-06,8.33E-25,4.97E-13,2.60E-05,8.59E-07,3.28E-08,0,3.24E-20,1.47E-09,0.000341784,1.01E-14,1.48E-19,2.69E-05,3.70E-16,1.37E-06
40,0.006323404,"semant, system, account, journal, evalu ",5.60E-24,0.026555185,0.021751577,0.001619704,1.59E-06,2.34E-21,1.77E-14,6.94E-42,0.017327204,0.003555891,0.000661151,0.003952088,0.025778448,0.04709385,0.002452185,2.13E-05,0.014620726,3.34E-24,0,0.064781874,0.010873242,0.006731969,0.009542844,1.70E-23,0.005425616,0.011616716,0.016715415,0,2.94E-45,0.005977586,0.098974863,9.67E-20,5.97E-07,0.080566439,1.64E-26,0.015126895
