TOPIC,TOPIC PROPORTION,TOP WORDS,al,biomed,et,exampl,f,inform,journal,semant
25,0.060901721,"project, f, biomed, semant, term ",0,1.10E-20,8.24E-45,2.78E-54,0.00643847,1.28E-48,0,1.42E-28
26,0.014763823,"integr, data, inform, open, f ",0,3.67E-14,2.06E-115,3.27E-71,0.035748734,0.091102038,0,3.66E-08
27,0.018037199,"provid, applic, f, biomed, semant ",0,2.14E-15,4.29E-63,7.70E-32,1.27E-05,9.41E-110,0,2.27E-22
28,0.007827233,"s, f, ontolog, term, inform ",0,1.44E-61,1.50E-118,2.90E-62,0.002683954,5.19E-45,0,2.46E-76
29,0.006385973,"text, f, biomed, semant, et ",0,2.26E-15,1.71E-24,6.27E-60,6.29E-10,1.16E-40,0,1.04E-18
30,0.036248013,"f, phenotyp, semant, et, term ",0,1.26E-35,4.31E-28,6.89E-87,0.81213247,8.77E-44,0,4.01E-19
31,0.007031894,"improv, f, provid, et, data ",0,2.18E-57,2.26E-34,8.41E-76,0.002386631,1.98E-76,0,5.40E-59
32,0.010931231,"list, inform, f, term, ontolog ",0,5.08E-21,1.38E-71,7.93E-24,0.074150637,0.170839767,0,8.08E-69
33,0.014249971,"represent, f, ontolog, term, biomed ",0,2.43E-26,2.25E-64,1.59E-71,0.333342321,2.11E-48,0,1.96E-54
34,0.008062473,"structur, f, ontolog, term, inform ",0,4.48E-28,9.90E-102,8.74E-76,0.061901707,4.75E-28,0,1.78E-50
35,0.007655647,"exist, f, ontolog, biomed, provid ",0,1.46E-16,1.94E-98,4.43E-38,0.026392482,1.20E-68,0,2.29E-37
36,0.01036191,"set, f, data, semant, provid ",0,6.92E-55,9.93E-73,6.17E-130,2.08E-18,2.78E-63,0,1.75E-28
37,0.008174069,"domain, f, biomed, exampl, open ",0,9.58E-05,3.78E-78,7.51E-17,0.001949575,3.37E-60,0,8.01E-24
38,0.069291493,"biomed, page, semant, f, inform ",0,0.385211369,2.69E-57,3.28E-45,0.005957685,1.67E-07,0,0.285498192
39,0.011395413,"process, semant, f, biomed, term ",0,8.35E-11,1.03E-38,1.66E-136,4.03E-07,4.43E-74,0,0.274518599
40,0.007422902,"addit, f, semant, data, biomed",0,2.35E-09,2.00E-51,2.42E-44,0.119329346,1.54E-51,0,6.79E-07
