TOPIC,TOPIC PROPORTION,,al,biomed,et,exampl,journal,page,process,semant,standard,type
14,0.011252166,"data, tabl, class, et, provid ",0,1.67E-38,4.63E-15,1.03E-33,4.96E-62,0,2.76E-58,4.73E-29,1.36E-62,1.79E-36
15,0.015245245,"set, exampl, data, work, provid ",0,4.86E-46,5.25E-93,0.202822753,4.95E-132,0,1.27E-131,1.89E-17,4.19E-124,1.96E-118
16,0.00990211,"import, avail, standard, data, provid ",0,3.31E-22,6.44E-32,3.31E-68,1.68E-143,0,1.24E-119,5.26E-23,0.161981109,3.38E-37
17,0.028989194,"class, provid, applic, data, standard ",0,1.39E-37,2.80E-49,7.16E-32,4.68E-103,0,2.46E-124,3.99E-37,2.79E-26,3.24E-39
18,0.007527153,"structur, provid, semant, repres, organ ",0,1.02E-79,6.11E-72,7.29E-22,1.46E-86,0,1.08E-143,5.66E-13,1.17E-43,1.18E-67
19,0.017699318,"current, concept, work, type, journal ",0,3.39E-12,5.04E-68,7.24E-41,5.51E-06,0,2.52E-46,2.20E-06,4.00E-67,0.136331893
20,0.047516757,"bigdata, provid, ontolog, semant, biomed ",0,1.51E-23,9.60E-33,1.59E-30,4.01E-56,0,6.03E-65,2.19E-23,3.51E-25,1.86E-36
21,0.047519093,"textfil, provid, ontolog, semant, biomed ",0,1.50E-23,9.61E-33,1.59E-30,4.03E-56,0,6.13E-65,2.17E-23,3.53E-25,1.85E-36
22,0.047510085,"files_keyword, provid, ontolog, semant, biomed ",0,1.49E-23,9.45E-33,1.57E-30,4.01E-56,0,6.10E-65,2.16E-23,3.46E-25,1.83E-36
23,0.047506485,"run, provid, ontolog, semant, biomed ",0,1.49E-23,9.51E-33,1.57E-30,3.98E-56,0,6.06E-65,2.16E-23,3.49E-25,1.84E-36
24,0.047520466,"txt, provid, ontolog, semant, biomed ",0,1.50E-23,9.61E-33,1.58E-30,3.99E-56,0,6.11E-65,2.18E-23,3.52E-25,1.84E-36
25,0.018661339,"gene, organ, repres, work, s ",0,2.45E-52,1.31E-65,1.21E-42,8.40E-109,0,3.73E-138,1.38E-59,1.05E-39,3.73E-86
26,0.010846884,"specif, context, s, provid, semant ",0,3.15E-25,2.74E-26,1.76E-18,3.26E-80,0,1.74E-40,6.16E-12,2.43E-76,7.86E-45
27,0.016710574,"term, level, exampl, type, standard ",0,3.30E-32,1.13E-46,0.077295767,4.42E-22,0,4.46E-148,1.89E-22,8.33E-19,3.76E-16
28,0.012470766,"evalu, semant, provid, data, repres ",0,6.45E-66,7.26E-108,1.59E-86,2.59E-69,0,2.98E-79,0.439571685,1.14E-102,2.87E-125
29,0.012485731,"develop, semant, journal, web, repres ",0,8.75E-09,1.30E-07,3.37E-29,0.080777297,0,4.35E-153,0.105953655,0.000339806,4.61E-27
30,0.05104029,"project, provid, semant, ontolog, biomed ",0,3.34E-24,2.06E-29,1.48E-36,4.77E-57,0,1.93E-66,2.04E-22,6.31E-27,2.36E-36
31,0.049100601,"f, provid, semant, biomed, ontolog ",0,3.63E-23,1.41E-32,3.80E-31,2.62E-57,0,2.46E-66,1.03E-22,1.79E-25,1.02E-35
32,0.031452555,"ontolog, knowledg, domain, semant, s ",0,6.89E-29,1.62E-44,2.82E-78,3.91E-79,0,1.26E-60,3.29E-11,6.75E-28,7.73E-35
33,0.007006452,"list, provid, biomed, avail, inform ",0,7.05E-13,1.20E-19,7.38E-41,2.03E-58,0,1.96E-31,4.05E-52,6.02E-27,5.87E-40
34,0.012826655,"correspond, integr, inform, et, provid ",0,4.73E-56,0.009661263,4.75E-66,7.72E-104,0,9.68E-55,1.70E-84,1.95E-24,1.63E-80
35,0.019347357,"semant, common, work, annot, provid ",0,3.80E-25,3.04E-29,1.27E-91,2.50E-142,0,2.07E-176,0.594242885,1.70E-89,9.98E-62
36,0.007866066,"form, provid, biomed, standard, process ",0,5.91E-06,1.09E-23,6.64E-28,1.20E-49,0,1.84E-16,2.66E-27,4.01E-08,1.01E-21
37,0.011175932,"data, framework, annot, ontolog, class ",0,1.02E-40,6.03E-76,2.44E-57,1.77E-24,0,1.51E-33,6.00E-48,2.18E-73,6.67E-101
38,0.008594035,"refer, data, annot, ontolog, semant ",0,4.63E-34,2.51E-31,2.19E-29,3.67E-24,0,1.67E-100,3.88E-18,1.52E-48,2.00E-58
39,0.007240389,"number, biomed, data, ontolog, type ",0,0.075942303,1.22E-47,8.71E-50,3.97E-87,0,2.36E-108,1.10E-47,3.88E-29,9.57E-27
40,0.009019182,"author, provid, ontolog, biolog, avail",0,1.49E-12,9.56E-19,6.43E-27,1.53E-33,0,1.25E-34,2.60E-28,3.09E-17,7.06E-29
